region,version,OA,Kappa,F1,dropout,weight_decay,lr,patience
arkansas,tuned,0.9633,0.9542,0.9632,0.5,0.001,0.0005,15
california,final,0.9194,0.9033,0.9209,0.6,0.001,0.0005,10
